"filename", "language", "HTML", "TypeScript", "CSS", "JSON", "JavaScript", "comment", "blank", "total"
"c:\Users\Vlad\Desktop\Segregare\frontend_update\src\app\unitati\unitati.component.ts", "TypeScript", 0, 132, 0, 0, 0, 0, 36, 168
"c:\Users\Vlad\Desktop\Segregare\frontend_update\src\environments\environment.prod.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\Vlad\Desktop\Segregare\frontend_update\src\environments\environment.ts", "TypeScript", 0, 3, 0, 0, 0, 11, 3, 17
"c:\Users\Vlad\Desktop\Segregare\frontend_update\src\index.html", "HTML", 21, 0, 0, 0, 0, 0, 6, 27
"c:\Users\Vlad\Desktop\Segregare\frontend_update\src\karma.conf.js", "JavaScript", 0, 0, 0, 0, 28, 2, 1, 31
"c:\Users\Vlad\Desktop\Segregare\frontend_update\src\main.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 4, 14
"c:\Users\Vlad\Desktop\Segregare\frontend_update\src\polyfills.ts", "TypeScript", 0, 1, 0, 0, 0, 55, 8, 64
"c:\Users\Vlad\Desktop\Segregare\frontend_update\src\styles.css", "CSS", 0, 0, 14, 0, 0, 2, 6, 22
"c:\Users\Vlad\Desktop\Segregare\frontend_update\src\test.ts", "TypeScript", 0, 13, 0, 0, 0, 4, 4, 21
"c:\Users\Vlad\Desktop\Segregare\frontend_update\src\tsconfig.app.json", "JSON", 0, 0, 0, 14, 0, 0, 1, 15
"c:\Users\Vlad\Desktop\Segregare\frontend_update\src\tsconfig.spec.json", "JSON", 0, 0, 0, 18, 0, 0, 1, 19
"c:\Users\Vlad\Desktop\Segregare\frontend_update\src\tslint.json", "JSON", 0, 0, 0, 17, 0, 0, 1, 18
"Total", "-", 1055, 1805, 716, 49, 28, 92, 977, 4722
